Members for channel#id1054174795
1 - 涼宮ハルヒ ちゃん  @clannad [ 212257536 ]

2 - Rohan  @RKRohk [ 162889325 ]

3 - Primary bot admin 長門 有希? ゆき ながと? ユキ ナガト? Yuki Nagato? O-oooooooooo AAAAE-A-A-I-A-U- JO-oooooooooooo AAE-O-A-A-U-U-A- E-eee-ee-eee AAAAE-A-E-I-E-A- JO-ooo-oo-oo-oo EEEEO-A-AAA-AAAA  @Akkey [ 190427743 ]

4 - Bot admin 2  @AstonishedByTheLackOfCake [ 161472020 ]

5 - Saleh  @sarehadm [ 62202377 ]

6 - Brandon Paterson  @brandonjp [ 150606974 ]

7 - Kawaii Starfish ⭐️🐠  @dangou [ 206197460 ]

8 - flo :3  @aRandomStranger [ 249389252 ]

9 - Aryan  @Anonislife [ 229473867 ]

10 - Tomoko Kuroki  @puchiiko [ 181221553 ]

11 - Jurrejelle   @jurrejelle [ 130033054 ]

12 - Shizuru  @shizurubot [ 238029142 ]

13 - Shuaiby  @Shuaiby [ 158739254 ]

14 - Tristan Marsell  @TristanPDesire [ 116004047 ]

15 - Yuki Nagato!!!!!!  @Testsomethingcoolbot [ 201673364 ]

16 - Frkystylie  @imanegativecreep [ 214449283 ]

17 - Mipirakas M  @Mipirakas [ 56481093 ]
